2016-03-04 00:36:44,364 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457023004, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=3D0F4F1333A385732F67F6F91D31EC4B25529, clientver=android, openid=594031754, payamt_coins=0, billno=-QKTDJ-20160304-0036326125, sig=nawzuN/IR0DvZmf8jWmlmARfe+Y=}
2016-03-03 19:12:59,780 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003579, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=F65F2F6445041510F8CFE1911361AA0123824, clientver=android, openid=910116062, payamt_coins=0, billno=-QKTDJ-20160303-1912506388, sig=qWGhIIXteF74atnUMJzRhsh/WmA=}
2016-03-03 19:14:13,226 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003653, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=0A20D780722C10EA9B966F2FA9239C2613743, clientver=android, openid=734007627, payamt_coins=0, billno=-QKTDJ-20160303-1914067979, sig=+dgJ0AFRoVQ0T36naGXYLFUsuQI=}
2016-03-03 19:14:18,751 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003658, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=1E4B11C56464EC64AE9255051983E87D15187, clientver=android, openid=1063586396, payamt_coins=0, billno=-QKTDJ-20160303-1913179600, sig=XOdqfzyNoKRPYnpq8hxqY/Mk/j0=}
2016-03-03 19:14:51,963 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003692, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=D4906E9310A709E569048B7089BA707C24286, clientver=android, openid=654603389, payamt_coins=0, billno=-QKTDJ-20160303-1914345537, sig=7pq1mnlTUAHAfOZw/dhThClYgJw=}
2016-03-03 19:15:09,614 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003709, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=A027FD242DFB1F08D5C07DF887FDDE1103361, clientver=android, openid=1181022162, payamt_coins=0, billno=-QKTDJ-20160303-1914457647, sig=oNU+ttKHYHok7/3JZOSi26rP2DI=}
2016-03-03 19:16:12,584 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003772, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=7CF0E4F923747096140000257F9D35DE22266, clientver=android, openid=810165678, payamt_coins=0, billno=-QKTDJ-20160303-1916049902, sig=8FQUPPAjIAeJ1NM4gjXt2Btv0ew=}
2016-03-03 19:16:29,353 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003789, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=D33FB224111A09A8BA19026223E22A5215516, clientver=android, openid=394699778, payamt_coins=0, billno=-QKTDJ-20160303-1916223535, sig=EnGSTo7yQMpud0yxmrGymqpHrcA=}
2016-03-03 19:17:42,275 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003862, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=C36929C7AB1191E0027ED5839A57FFB022266, clientver=android, openid=2393019048, payamt_coins=0, billno=-QKTDJ-20160303-1917172989, sig=fnu96QLq97VQRgyL22GK1jaLt50=}
2016-03-03 19:17:50,835 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003870, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=D1FB3B691C7B3F24283CB7DDE14823EB03362, clientver=android, openid=254929902, payamt_coins=0, billno=-QKTDJ-20160303-1917407931, sig=CfBB/awF/SlGRGzPb6i5ILuYdpI=}
2016-03-03 19:18:02,779 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003882, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=F291C28CC224CBD872DED13AED4CEDE803361, clientver=android, openid=12897765, payamt_coins=0, billno=-QKTDJ-20160303-1917474944, sig=7j3JsTZECZ3zv3lIAqTg/QYsf0g=}
2016-03-03 19:19:11,039 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003951, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=DCA6F7455BD95089D71143AE65186F9D09320, clientver=android, openid=530929755, payamt_coins=0, billno=-QKTDJ-20160303-1918465463, sig=5tbBVr74r+qKyiqmWQalcKYV6FM=}
2016-03-03 19:20:27,118 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004027, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=812747A5B4886D26F0AA9D18BE82B92A03361, clientver=android, openid=2241842631, payamt_coins=0, billno=-QKTDJ-20160303-1920124190, sig=PqHw+U2IFwEeQjO6RfiPxZbpiuo=}
2016-03-03 19:24:02,523 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004242, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=9047C7F1D7B53109760A68D6A0E7866622867, clientver=android, openid=1520167904, payamt_coins=0, billno=-QKTDJ-20160303-1923539116, sig=SW/AKQ3X5lm6j7gnvLgVNYEUj0I=}
2016-03-03 19:24:26,172 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004266, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=3D1FA6720053173D23B5131DBA52850420601, clientver=android, openid=1819413289, payamt_coins=0, billno=-QKTDJ-20160303-1924150481, sig=7DBjh1ucsHfAEqPPTo/b7nr8uv8=}
2016-03-03 19:25:28,617 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004328, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=E028B20A5C99F2A12006170FAAE786D603361, clientver=android, openid=553001596, payamt_coins=0, billno=-QKTDJ-20160303-1925179687, sig=9y35DWRZVbkQ6wI6pDEiPDmVTrM=}
2016-03-03 19:25:56,824 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004356, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=A31D17FA88E19495AB1A52742B528C8813743, clientver=android, openid=1075939460, payamt_coins=0, billno=-QKTDJ-20160303-1925489157, sig=HMg8ATy0gQZUdbfHDgKVupEKWWQ=}
2016-03-03 19:26:23,909 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004383, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=7F5841FD9F091E74C7DA77A5A41C2F2A01530, clientver=android, openid=842573868, payamt_coins=0, billno=-QKTDJ-20160303-1926149001, sig=lU9NWTKvcw/H+906YjvKd9gHSYA=}
2016-03-03 19:27:05,041 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004425, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=AA1DB91C76DFE36783273A621F585FCB15568, clientver=android, openid=83349828, payamt_coins=0, billno=-QKTDJ-20160303-1926457816, sig=p/q2GAyO6orKIz/4viV5U2mGdto=}
2016-03-03 19:31:03,358 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004663, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=E67870458F106A9F1381DA444DC1BAD803362, clientver=android, openid=2823979355, payamt_coins=0, billno=-QKTDJ-20160303-1930510243, sig=uBV0HCSltrrUcKvlD0LcZe77kcw=}
2016-03-03 19:32:27,622 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004747, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=6C615E622476E67C2ADC5D20F2ED80F123535, clientver=android, openid=763885032, payamt_coins=0, billno=-QKTDJ-20160303-1932176007, sig=WHJCpeonMEZv31H98d90mcIlbRY=}
2016-03-03 19:32:29,263 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004749, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=226DAE6B14CCD1371C15EAAF703D4AA219988, clientver=android, openid=99978455, payamt_coins=0, billno=-QKTDJ-20160303-1932190613, sig=0iPdYqTdyPitC4bTPU5YjBi6ufw=}
2016-03-03 19:32:56,972 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004776, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=207B1DFA6019F978A9CFFAC12132C8A315568, clientver=android, openid=948301881, payamt_coins=0, billno=-QKTDJ-20160303-1932459441, sig=JBEAvxr32trSEHeHsdQ8cC0ES14=}
2016-03-03 19:33:32,404 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004812, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=DB2C22667F73FEC45EFE4A3EA53BC80E24286, clientver=android, openid=517934521, payamt_coins=0, billno=-QKTDJ-20160303-1933239514, sig=gPUu336X6uyy2C135Sc5WSOfnk8=}
2016-03-03 19:34:39,912 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004879, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=475F7F99256B2AC69A2916A022087C9101530, clientver=android, openid=158585330, payamt_coins=0, billno=-QKTDJ-20160303-1934312860, sig=Qa+plfkfhkrN99sQjJGSp9DgwXM=}
2016-03-03 19:34:50,348 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004890, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=FA406ECE71421105448A1A4D6ECDFD1115188, clientver=android, openid=615846496, payamt_coins=0, billno=-QKTDJ-20160303-1934394725, sig=0SHt9MIPNPXjSeuCUemkVJri0vA=}
2016-03-03 19:35:04,494 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457004904, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=261D071A0A3040834B7354699494E65603362, clientver=android, openid=1551546955, payamt_coins=0, billno=-QKTDJ-20160303-1934512653, sig=5L7mr305jLad1aINQYuiJKPwD3E=}
2016-03-03 19:37:25,459 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457005045, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=2F8A337CA74B9F27BEC5A7671E7C869D15568, clientver=android, openid=446732929, payamt_coins=0, billno=-QKTDJ-20160303-1937155888, sig=62P9X8ThM1G47/zpauuGx+DRhEE=}
2016-03-03 19:40:13,413 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457005213, payitem=memberT1T0T0T*200.0*1, zoneid=0, appid=1450000627, version=v3, amt=2000, providetype=0, token=A8CE90831035C50857F262A4C2AD833008105, openid=623266654, payamt_coins=0, billno=-QKTDJ-20160303-1936317157, sig=1ymFLoeLUFC0qjOVF8vjd8AsjdA=}
2016-03-03 19:40:46,849 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457005246, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=AA1FF8F268081D40060CE8BD2A5CC83919988, clientver=android, openid=879034719, payamt_coins=0, billno=-QKTDJ-20160303-1940299470, sig=nOxEzfrAZ16ofTlpd0pCRVv9FbU=}
2016-03-03 19:47:09,861 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457005629, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=EABDC1796C85585F1FBD4CA00F6DA03F22266, clientver=android, openid=286071318, payamt_coins=0, billno=-QKTDJ-20160303-1947007065, sig=Ew/n6gpRuVP0lFYqmSKNqxgJHEI=}
2016-03-03 19:51:27,078 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457005887, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=DE1F5AB9248DC5D07642F3B6E6D502B415568, clientver=android, openid=894196146, payamt_coins=0, billno=-QKTDJ-20160303-1951218284, sig=3u8eNZ1YMRNio1EhX6KvDRG270c=}
2016-03-03 19:52:05,441 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457005925, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=1B5879A5B5569864B6D2D5E4949896FB22266, clientver=android, openid=1642023007, payamt_coins=0, billno=-QKTDJ-20160303-1951570390, sig=Gf+rw1Coh64w8KWQClSqvtCBV3k=}
2016-03-03 19:52:27,973 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457005947, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=1972DC8428852CB69A05F50560C0868D15568, clientver=android, openid=785161939, payamt_coins=0, billno=-QKTDJ-20160303-1952138370, sig=8g/ao3b3n2ze8MUHa9R1cSjisYo=}
2016-03-03 19:57:16,088 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457006236, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=56E65B79F3C58D8CE48962533F9180A907214, clientver=android, openid=529842394, payamt_coins=0, billno=-QKTDJ-20160303-1957101181, sig=X5jORCKojDplupdlUnU5dH2r2kE=}
2016-03-03 20:02:50,930 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457006571, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=A54CBAF78D13C199C2F619126B6C0E5807214, clientver=android, openid=574420602, payamt_coins=0, billno=-QKTDJ-20160303-2002416713, sig=CZLEAF864GDWyjKo56R2/PoRsng=}
2016-03-03 20:09:48,338 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457006988, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=2342A223F627DA66123360FDF8DD4E5613742, clientver=android, openid=1220746100, payamt_coins=0, billno=-QKTDJ-20160303-2009366471, sig=dAMiTJvsFm4J2e4zPAF1UJNEqhE=}
2016-03-03 20:11:20,964 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457007080, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=243C5B5449DB1CCBC5073EE1A4F4930B03481, clientver=android, openid=185245875, payamt_coins=0, billno=-QKTDJ-20160303-2011052040, sig=fq84MY/DStT4dwNhrLM4v0c27+c=}
2016-03-03 20:13:03,745 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457007183, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=18049577B7D12D74ABEC6948253BCD2523535, clientver=android, openid=826878231, payamt_coins=0, billno=-QKTDJ-20160303-2012513844, sig=bI6o3jMZxCqjey6i7UrzicG8Oak=}
2016-03-03 20:15:26,443 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457007326, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=083AF106B640852C4D062193B7AAB88028609, clientver=android, openid=1159802867, payamt_coins=0, billno=-QKTDJ-20160303-2015171763, sig=eJteS4tfmpa+3FSUgRCex3NfyZQ=}
2016-03-03 20:15:36,824 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457007336, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=7A3357C1222A6D74331364CA47B9847213742, clientver=android, openid=1025118316, payamt_coins=0, billno=-QKTDJ-20160303-2015216037, sig=T9joNS7Fv05JbxHMd9xcVdfU8Jo=}
2016-03-03 20:17:23,478 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457007443, zoneid=0, payitem=memberT1T0T2T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*st_dummy, token=D6E7657DCAA1D93E95E23F6B36A8446E16962, clientver=android, openid=144115198347904222, payamt_coins=0, billno=-QKTDJ-20160303-2017183695, sig=OYtU68noNf0vTRCYVwqw570E4co=}
